feature_1,feature_2,spearman_r,abs_spearman_r
central_alpha_power_mean,occipital_theta_beta_ratio,-0.08008399945806802,0.08008399945806802
frontal_theta_beta_ratio,central_alpha_power_mean,-0.07671724698550332,0.07671724698550332
frontal_alpha_power_mean,central_theta_beta_ratio,-0.07663595718737298,0.07663595718737298
temporal_theta_beta_ratio,occipital_alpha_power_mean,0.06795149708711556,0.06795149708711556
frontal_alpha_power_mean,temporal_theta_beta_ratio,-0.041898116786343316,0.041898116786343316
central_theta_beta_ratio,temporal_alpha_power_mean,-0.04093618750846769,0.04093618750846769
frontal_theta_beta_ratio,occipital_alpha_power_mean,0.035794607776724024,0.035794607776724024
parietal_theta_beta_ratio,occipital_alpha_power_mean,-0.03239398455493835,0.03239398455493835
parietal_theta_beta_ratio,temporal_alpha_power_mean,-0.03008399945806801,0.03008399945806801
central_alpha_power_mean,parietal_delta_power_mean,-0.023181140766833763,0.023181140766833763
central_alpha_power_mean,temporal_delta_power_mean,0.01684053651266766,0.01684053651266766
central_alpha_power_mean,occipital_delta_power_mean,-0.013385720092128437,0.013385720092128437
frontal_alpha_power_mean,occipital_theta_beta_ratio,0.010777672402113535,0.010777672402113535
central_theta_beta_ratio,occipital_alpha_power_mean,-0.010052838368784718,0.010052838368784718
frontal_theta_beta_ratio,parietal_alpha_power_mean,-0.005134805581899471,0.005134805581899471
