feature,importance
P4_P8_beta_connectivity,0.0008794957868918017
Fp1_Fp2_beta_connectivity,0.0008753915672413268
P4_F7_beta_connectivity,0.0008730970384607908
Fp1_Fz_alpha_connectivity,0.0008711704909940158
central_temporal_delta_connectivity,0.0008638244027699268
C3_P4_alpha_connectivity,0.000859856008586582
Fp2_F4_alpha_connectivity,0.0008575828913049203
P3_O1_alpha_connectivity,0.0008557505963305277
Fp1_P4_theta_connectivity,0.0008536463830273606
C4_P3_alpha_connectivity,0.0008520517708679484
P4_F7_delta_connectivity,0.0008472553708511479
Fp2_O1_beta_connectivity,0.0008459232850839619
P4_T8_theta_connectivity,0.000836302220269279
P4_Cz_theta_connectivity,0.0008350476845761001
F8_T8_alpha_connectivity,0.0008342600366460793
F7_F8_alpha_connectivity,0.0008338114669974142
P3_O1_theta_connectivity,0.0008327960995534392
C4_P4_theta_connectivity,0.0008324527118347438
P3_O1_beta_connectivity,0.0008260297006904493
F8_T7_theta_connectivity,0.0008239318774226833
O2_Pz_beta_connectivity,0.000820943773898557
Fp1_Fz_delta_connectivity,0.0008198499161947203
Fp2_F8_beta_connectivity,0.0008189641366657789
C3_Cz_alpha_connectivity,0.0008098133065295143
F3_P8_delta_connectivity,0.0008087146087751234
O2_Pz_alpha_connectivity,0.0008038918529104295
parietal_occipital_beta_connectivity,0.0008007275525162813
Fp2_F4_delta_connectivity,0.000784854433465476
C3_T8_beta_connectivity,0.0007809975509452264
frontal_occipital_beta_connectivity,0.0007790173771482595
C3_F7_beta_connectivity,0.0007772527363195977
O1_P8_beta_connectivity,0.0007739244722933266
T8_P7_alpha_connectivity,0.0007679820972135926
C3_O2_theta_connectivity,0.0007670058752716731
frontal_temporal_delta_connectivity,0.000766553767920333
C4_T8_beta_connectivity,0.0007630226581032775
P4_Cz_alpha_connectivity,0.0007621403772778455
Fp1_T8_alpha_connectivity,0.0007614758354877757
F7_Cz_theta_connectivity,0.0007603301814829083
F8_Cz_theta_connectivity,0.0007507082130856949
F4_T7_theta_connectivity,0.0007496489071884986
temporal_occipital_theta_connectivity,0.0007332147565868888
F4_P3_alpha_connectivity,0.000731376417102921
F4_P4_beta_connectivity,0.0007304796643503985
Fp2_Fz_beta_connectivity,0.0007280808976009946
Fp1_P8_alpha_connectivity,0.0007276138050264006
frontal_parietal_alpha_connectivity,0.0007240458726281802
F8_Pz_delta_connectivity,0.0007196648521318133
F3_P8_alpha_connectivity,0.0007169826502180677
C3_C4_alpha_connectivity,0.0007131135318785809
O1_Fz_theta_connectivity,0.0007115384281701834
P4_T8_beta_connectivity,0.0007062620804714909
Fp1_P3_alpha_connectivity,0.0007035232107014776
Fp1_F7_alpha_connectivity,0.0006911789563166426
temporal_parietal_delta_connectivity,0.0006897165054237006
P3_O2_beta_connectivity,0.0006882013380752902
Fp2_Cz_theta_connectivity,0.0006878876369057312
P4_Fz_alpha_connectivity,0.0006826273516713218
P7_Pz_alpha_connectivity,0.0006784712960471111
O2_T8_beta_connectivity,0.0006783113061240916
O2_T7_alpha_connectivity,0.0006773402078590158
Fp1_F8_alpha_connectivity,0.0006731135611160492
F7_Pz_alpha_connectivity,0.0006695200818939855
C4_Cz_alpha_connectivity,0.0006693554842921083
P4_F7_alpha_connectivity,0.000667589720703048
F3_O2_beta_connectivity,0.0006660820146959634
frontal_occipital_delta_connectivity,0.0006650003830621236
Fp2_O1_delta_connectivity,0.0006558422228870726
O1_F8_beta_connectivity,0.0006555684236221422
P3_F8_alpha_connectivity,0.00064986996426682
F4_F7_theta_connectivity,0.0006472348874750798
C4_T8_theta_connectivity,0.0006459526019635913
T7_T8_beta_connectivity,0.0006430442951112915
C3_P4_delta_connectivity,0.0006336619124424347
T7_P7_alpha_connectivity,0.0006335664124524724
O1_P8_alpha_connectivity,0.0006302752255322427
P3_P4_theta_connectivity,0.0006296719922690323
F4_O1_alpha_connectivity,0.000625413007642608
F7_T8_alpha_connectivity,0.0006197884678909535
P4_F8_delta_connectivity,0.0006151785255343387
Fp2_Pz_theta_connectivity,0.0006123320178050664
F4_Pz_delta_connectivity,0.0006057565943279579
C4_P3_beta_connectivity,0.0006049780665296147
Fz_Cz_alpha_connectivity,0.0006040739831790143
F4_T8_alpha_connectivity,0.0005975066716262764
F4_F8_alpha_connectivity,0.0005964985855822906
P8_Pz_alpha_connectivity,0.0005931991931777981
C4_F7_alpha_connectivity,0.0005910104145951567
C4_Fz_beta_connectivity,0.0005905430999939878
F4_Pz_beta_connectivity,0.0005900736874114471
Fp2_F4_beta_connectivity,0.0005895572316407551
Fp2_F4_theta_connectivity,0.0005887390520832942
T8_Pz_delta_connectivity,0.0005808621764289363
O1_Cz_theta_connectivity,0.0005790681682317245
P4_Pz_beta_connectivity,0.0005752083131120525
F8_Pz_theta_connectivity,0.0005715111085841595
Fp1_P4_alpha_connectivity,0.000562195651092492
F3_T7_delta_connectivity,0.0005551657182862184
O1_Fz_delta_connectivity,0.0005550305885738047
C4_O1_alpha_connectivity,0.0005522517504272986
Fp1_F4_beta_connectivity,0.0005503200485380084
O1_F8_delta_connectivity,0.0005481219186109802
Fp2_F3_beta_connectivity,0.0005454470365882677
O2_F7_alpha_connectivity,0.0005435849293897659
Fp1_Pz_alpha_connectivity,0.0005412331672390623
C4_T7_beta_connectivity,0.0005402456462831359
C4_O1_delta_connectivity,0.0005378900011311474
