feature,importance
P4_P7_theta_connectivity,0.0008434379711193479
Fp1_P7_delta_connectivity,0.000838400125906599
O2_P8_beta_connectivity,0.0008349384881037407
F7_T8_alpha_connectivity,0.0008336210008528218
C4_F7_delta_connectivity,0.0008299690693486928
Fp2_C4_alpha_connectivity,0.0008298246432996442
Fp2_F7_alpha_connectivity,0.0008286430261419684
P4_P8_delta_connectivity,0.0008274844185099715
Fp2_Cz_alpha_connectivity,0.000825788123282756
Fp2_F3_theta_connectivity,0.0008256110676019112
P4_F7_theta_connectivity,0.0008245150066324206
C3_T7_delta_connectivity,0.000824378358459401
F3_C4_alpha_connectivity,0.0008231948191423369
F8_Pz_delta_connectivity,0.0008194289178409513
P3_P7_theta_connectivity,0.00081770857980317
F4_T8_delta_connectivity,0.0008117998830287633
O2_Pz_beta_connectivity,0.0008115334589126757
F3_Pz_beta_connectivity,0.0008044738747937538
P4_F8_theta_connectivity,0.0008035856892433683
O2_F7_beta_connectivity,0.0008028229278311252
Fp1_P3_theta_connectivity,0.0008013925639443503
C3_P3_alpha_connectivity,0.0007997209141137226
C3_Fz_theta_connectivity,0.000799543583138175
F3_Cz_beta_connectivity,0.000795654181829938
F4_Cz_theta_connectivity,0.0007937971958678229
C3_Cz_alpha_connectivity,0.0007924791990522822
O1_F8_theta_connectivity,0.0007895326444925709
Fp1_F7_alpha_connectivity,0.0007841788455069312
Fp1_T8_theta_connectivity,0.0007819101500415104
T8_Cz_alpha_connectivity,0.0007817125756082948
P4_F8_alpha_connectivity,0.0007805842718665696
T8_P7_alpha_connectivity,0.0007782023509032719
F4_P8_alpha_connectivity,0.0007769192669954481
C3_O1_alpha_connectivity,0.0007753672567733029
C3_F8_delta_connectivity,0.0007748607173272251
P7_Fz_theta_connectivity,0.000767374056417616
T7_Pz_delta_connectivity,0.0007671263735737983
Fp2_P7_beta_connectivity,0.0007652378743759813
P4_P8_alpha_connectivity,0.0007639598177611735
C4_F8_theta_connectivity,0.0007623995421587775
C3_F8_beta_connectivity,0.0007568592386228186
O2_Fz_delta_connectivity,0.000753686926918318
F7_P7_alpha_connectivity,0.0007508348743524145
Fp2_F3_beta_connectivity,0.0007506728557378094
P3_Fz_delta_connectivity,0.0007491607921743431
C3_P7_alpha_connectivity,0.0007451980288930722
Fp1_O1_delta_connectivity,0.0007429422779641426
C3_P3_theta_connectivity,0.0007374326002899277
Fz_Pz_theta_connectivity,0.0007343858718365724
C4_P8_beta_connectivity,0.0007339927320180017
F7_T8_theta_connectivity,0.0007334892827854015
P3_T7_delta_connectivity,0.0007271719170539346
Fp2_O2_theta_connectivity,0.0007261109543279539
O2_T7_delta_connectivity,0.0007214706152430649
F3_Cz_delta_connectivity,0.0007214109963310571
C3_Cz_beta_connectivity,0.0007180825906252899
C4_P8_alpha_connectivity,0.000716907112364837
Fp1_Cz_theta_connectivity,0.0007152921452889247
C3_P4_delta_connectivity,0.0007152738723611398
F7_Fz_alpha_connectivity,0.0007131513426981465
C3_T7_theta_connectivity,0.0007126222294612616
T7_P8_alpha_connectivity,0.0007124815879518228
O1_F7_delta_connectivity,0.0007099694730375631
C4_T8_beta_connectivity,0.00070922080799724
T8_Fz_beta_connectivity,0.0007064034067658289
Fz_Cz_beta_connectivity,0.0007054154524973857
C4_P8_delta_connectivity,0.0007016349541821543
C3_C4_theta_connectivity,0.0007003642972756776
O2_T8_alpha_connectivity,0.0006961635682643909
P4_F8_delta_connectivity,0.0006959081906376007
Fp1_C4_alpha_connectivity,0.000691751418711961
F4_T8_alpha_connectivity,0.0006856565518682154
F7_P7_theta_connectivity,0.0006850048812971364
P3_P8_alpha_connectivity,0.0006826680002260198
